S.No,Date,Samvatsara,Ayana,Rithu,Maasa,Paksha,Thithi,Nakshatra,Yoga,Karana,Sh. Thithi,Raahu,Yamakanda,T End Time,N End Time,Y EndTIme,K EndTIme,Vaasara,Events,Maasa Niyamaka,Sh Thithi End Time,Gulika,SunriseTime,SunsetTime,MoonriseTime,MoonsetTime
77,02-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Chaturthi,Purvashadha,Shukla,Bhava,,,,1:24 AM,6:58 AM,6:22 PM,12:24 PM,Sthirawara,,Aananda-Purushothama,,,6:06,,,
78,03-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Panchami,Uttarashadha,Brahma,Kaulava,,,,3:24 AM,9:36 AM,7:02 PM,2:24 PM,Baanuwara,,Aananda-Purushothama,,,6:06,,,
79,04-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Shashti,Sharavana,Indra,Gara,,,,5:11 AM,12:08 PM,7:35 PM,4:17 PM,Induwara,,Aananda-Purushothama,,,6:05,,,
80,05-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Saptami,Dhanishta,Vaidhriti,Bhadra,,,,6:05 AM,2:27 PM,7:56 PM,5:56 PM,Boumawara,,Aananda-Purushothama,,,6:05,,,
81,06-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Saptami,Shatabhisha,Vishkambha,Bhava,,,,6:41 AM,4:26 PM,7:59 PM,6:41 AM,Soumyawara,,Aananda-Purushothama,,,6:05,,,
82,07-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Ashtami,Purvabhadra,Priti,Kaulava,,,,7:45 AM,5:59 PM,7:41 PM,7:45 AM,Guruwara,,Aananda-Purushothama,,,6:05,,,
83,08-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Navami,Uttarabhadra,Ayushman,Gara,,,,8:18 AM,7:01 PM,6:58 PM,8:18 AM,Baarghavawara,,Aananda-Purushothama,,,6:04,,,
84,09-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Dasami,Revati,Soubhagya,Bhadra,,,,8:23 AM,7:34 PM,5:52 PM,8:23 AM,Sthirawara,,Aananda-Purushothama,,,6:04,,,
85,10-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Ekadashi,Ashwini,Shobhana,Balava,,,,7:57 AM,7:38 PM,4:22 PM,7:57 AM,Baanuwara,,Aananda-Purushothama,,,6:04,,,
86,11-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Dwadashi,Bharani,Atiganda,Taitila,,,,7:03 AM,7:16 PM,2:31 PM,7:03 AM,Induwara,,Aananda-Purushothama,,,6:04,,,
87,12-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Chaturdashi,Krittika,Sukarma,Bhadra,,,,3:59 AM,6:29 PM,12:18 PM,4:50 PM,Boumawara,,Aananda-Purushothama,,,6:03,,,
88,13-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Amavasya,Rohini,Dhriti,Chatuspat,,,,1:59 AM,5:22 PM,9:49 AM,2:59 PM,Soumyawara,,Aananda-Purushothama,,,6:03,,,
89,14-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Pratipad,Mrigashira,Sula,Kimstugna,,,,11:45 PM,4:01 PM,7:07 AM,12:53 PM,Guruwara,,Raama-Trivikrama,,,6:03,,,
90,15-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Dvitya,Ardra,Vriddha,Balava,,,,9:22 PM,2:29 PM,1:13 AM,10:34 AM,Baarghavawara,,Raama-Trivikrama,,,6:03,,,
91,16-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Tritiya,Punarvasu,Dhruva,Taitila,,,,6:54 PM,12:50 PM,10:10 PM,8:09 AM,Sthirawara,,Raama-Trivikrama,,,6:03,,,
92,17-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Chaturthi,Pushya,Vyaghata,Bhadra,,,,4:25 PM,11:09 AM,7:06 PM,4:25 PM,Baanuwara,,Raama-Trivikrama,,,6:02,,,
93,18-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Panchami,Ashlesha,Harshana,Balava,,,,2:03 PM,9:33 AM,4:09 PM,2:03 PM,Induwara,,Raama-Trivikrama,,,6:02,,,
94,19-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Shashti,Makha,Vajra,Taitila,,,,11:50 AM,8:06 AM,1:20 PM,11:50 AM,Boumawara,,Raama-Trivikrama,,,6:02,,,
95,20-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Saptami,Purvaphalguni,Siddhi,Vanija,,,,9:51 AM,6:52 AM,10:43 AM,9:51 AM,Soumyawara,,Raama-Trivikrama,,,6:02,,,
96,21-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Ashtami,Hasta,Vyatipata,Bhava,,,,8:11 AM,5:23 AM,8:21 AM,8:11 AM,Guruwara,,Raama-Trivikrama,,,6:02,,,
97,22-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Navami,Chitta,Variyan,Kaulava,,,,6:01 AM,5:14 AM,6:17 AM,6:01 AM,Baarghavawara,,Raama-Trivikrama,,,6:01,,,
98,23-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Ekadashi,Swati,Shiva,Vanija,,,,5:37 AM,5:34 AM,3:14 AM,5:49 PM,Sthirawara,,Raama-Trivikrama,,,6:01,,,
99,24-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Dwadashi,Vishakha,Siddha,Bhava,,,,5:44 AM,6:01 AM,2:19 AM,5:40 PM,Baanuwara,,Raama-Trivikrama,,,6:01,,,
100,25-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Trayodashi,Vishakha,Sadhya,Kaulava,,,,6:01 AM,6:24 AM,1:47 AM,6:02 PM,Induwara,,Raama-Trivikrama,,,6:01,,,
101,26-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Trayodashi,Anuradha,Shubha,Taitila,,,,6:21 AM,7:44 AM,1:39 AM,6:21 AM,Boumawara,,Raama-Trivikrama,,,6:01,,,
102,27-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Chaturdashi,Jyeshta,Shukla,Vanija,,,,7:27 AM,9:31 AM,1:51 AM,7:27 AM,Soumyawara,,Raama-Trivikrama,,,6:01,,,
103,28-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Poornima,Moola,Brahma,Bhava,,,,8:58 AM,11:42 AM,2:18 AM,8:58 AM,Guruwara,,Raama-Trivikrama,,,6:01,,,
104,29-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Krishna,Pratipad,Purvashadha,Indra,Kaulava,,,,10:47 AM,2:10 PM,2:55 AM,10:47 AM,Baarghavawara,,Vrishakapi-Vamana,,,6:01,,,
105,30-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Krishna,Dvitya,Uttarashadha,Vaidhriti,Gara,,,,12:45 PM,4:46 PM,3:35 AM,12:45 PM,Sthirawara,,Vrishakapi-Vamana,,,6:00,,,
