S.No,Day of Year,Samvatsara,Ayana,Rithu,Maasa,Paksha,Thithi,Nakshatra,Yoga,Karana,Sh. Thithi,Raahu,Yamakanda,T End Time,N End Time,,,Vaasara,Events,Maasa Niyamaka,Sh Thithi End Time,Gulika,SunriseTime,SunsetTime,MoonriseTime,MoonsetTime
67,143,Hevilambi,Uttarayana,Greeshma,Jyeshta,Shukla,Navami,Utharapalguni,Siddhi,Koulava,Dasami,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,09:59 a.m,04:31 p.m,,,Sthira,Sri Vidyakaantha Theertharu (Sosale),Sri Rama Trivikrama,,,,,,
68,144,Hevilambi,Uttarayana,Greeshma,Jyeshta,Shukla,Dasami,Hastha,Vyathipada,Garaja,Ekadasi,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,10:07 a.m,05:28 p.m,,,Baanu,,Sri Rama Trivikrama,,,,,,
69,145,Hevilambi,Uttarayana,Greeshma,Jyeshta,Shukla,Ekadasi,Siddha,Variyan,Badra,-,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,10:45 p.m,06:56 p.m,,,Indu,Ekadasi Upavasa,Sri Rama Trivikrama,,,,,,
70,146,Hevilambi,Uttarayana,Greeshma,Jyeshta,Shukla,Dwadasi,Swathi,Pariga,Baala,"Dwadasi, Trayodasi",03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,11:52 a.m,08:49 p.m,,,Bowma,,Sri Rama Trivikrama,,,,,,
71,147,Hevilambi,Uttarayana,Greeshma,Jyeshta,Shukla,Trayodasi,Visaga,Siva,Thaithila,Chaturdasi,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,01:23 p.m,11:05 p.m,,,Sowmya,,Sri Rama Trivikrama,,,,,,
72,148,Hevilambi,Uttarayana,Greeshma,Jyeshta,Shukla,Chaturdasi,Anuradha,Sidda,Vanik,Soonya Thithi,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,03:13 p.m,01:35 a.m,,,Guru,Sri Sripadaraja Theerthar Aradhane (Mulubagilu),Sri Rama Trivikrama,,,,,,
73,149,Hevilambi,Uttarayana,Greeshma,Jyeshta,Shukla,Pournami,Jyeshta,Saadya,Bava,Pournami,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,05:13 p.m,04:11 p.m,,,Baargava,,Sri Rama Trivikrama,,,,,,
74,150,Hevilambi,Uttarayana,Greeshma,Jyeshta,Krishna,Prathama,Moola,Subha,Baala,Prathama,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,07:11 p.m,Full,,,Sthira,,Sri Rama Trivikrama,,,,,,
75,151,Hevilambi,Uttarayana,Greeshma,Jyeshta,Krishna,Dwithiya,Moola,Sukhla,Thaithila,Dwithiya,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,09:00 p.m,06:47 a.m,,,Baanu,,Sri Rama Trivikrama,,,,,,
76,152,Hevilambi,Uttarayana,Greeshma,Jyeshta,Krishna,Truthiya,Poorvashada,Brahma,Vanik,Truthiya,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,10:31 p.m,09:07 a.m,,,Indu,,Sri Rama Trivikrama,,,,,,
77,153,Hevilambi,Uttarayana,Greeshma,Jyeshta,Krishna,Chaturthi,Utharashada,Iyndra,Bava,Chaturthi,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,11:37 p.m,11:05 a.m,,,Bowma,,Sri Rama Trivikrama,,,,,,
78,154,Hevilambi,Uttarayana,Greeshma,Jyeshta,Krishna,Panchami,Sravana,Vaidruthi,Koulava,Panchami,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,12:17 a.m,12:37 p.m,,,Sowmya,,Sri Rama Trivikrama,,,,,,
79,155,Hevilambi,Uttarayana,Greeshma,Jyeshta,Krishna,Shasti,Danishta,Vishkamba,Garaja,Shasti,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,12:20 a.m,01:38 p.m,,,Guru,Mithuna Sankramana Tharpana after 12:15 p.m,Sri Rama Trivikrama,,,,,,
80,156,Hevilambi,Uttarayana,Greeshma,Jyeshta,Krishna,Sapthami,Sadabisha,Preethi,Badra,Sapthami,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,11:58 p.m,02:11 p.m,,,Baargava,,Sri Rama Trivikrama,,,,,,
81,157,Hevilambi,Uttarayana,Greeshma,Jyeshta,Krishna,Ashtami,Poorabadra,Ayushman,Baala,Ashtami,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,11:07 p.m,02:16 p.m,,,Sthira,,Sri Rama Trivikrama,,,,,,
82,158,Hevilambi,Uttarayana,Greeshma,Jyeshta,Krishna,Navami,Uttarabadra,Sowbagya,Thaithila,Navami,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,09:50 p.m,02:05 p.m,,,Baanu,,Sri Rama Trivikrama,,,,,,
83,159,Hevilambi,Uttarayana,Greeshma,Jyeshta,Krishna,Dasami,Revathi,Shobana,Vanik,Dasami,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,08:10 p.m,01:07 p.m,,,Indu,,Sri Rama Trivikrama,,,,,,
84,160,Hevilambi,Uttarayana,Greeshma,Jyeshta,Krishna,Ekadasi,Aswini,Athiganda,Bava,-,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,06:12 p.m,12:01 p.m,,,Bowma,Ekadasi Upavasa,Sri Rama Trivikrama,,,,,,
85,161,Hevilambi,Uttarayana,Greeshma,Jyeshta,Krishna,Dwadasi,Barani,Sukarma,Thaithila,"Ekadasi, Dwadasi",12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,04:01 p.m,10:41 p.m,,,Sowmya,,Sri Rama Trivikrama,,,,,,
86,162,Hevilambi,Uttarayana,Greeshma,Jyeshta,Krishna,Trayodasi,Kruthika,Truthi,Vanik,"Trayodasi, Chaturdasi",01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,01:39 p.m,09:08 a.m,,,Guru,,Sri Rama Trivikrama,,,,,,
87,163,Hevilambi,Uttarayana,Greeshma,Jyeshta,Krishna,Chaturdasi,Rohini                        ,Soola,Chatushman,Amavasya,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,11:11 a.m,07:29 a.m Mrugashira 05:50 a.m,,,Baargava,Amavasya - Thila tharpana,Sri Rama Trivikrama,,,,,,
