S.No,DATE,samvatsara,ayana,ritu,masa,paksha,TITHI  ,NAKSHTRA,YOGA,KARNA,Sh. Thithi,Raahu,Yamaganda,TITHI end time,NAKSHATRA END TIME,YOGA END TIME,KARANA END TIME,DAY,Events,masaniyamaka,S.Thithi End Time,Gulika,SUNRISE,SunSet,MoonRise,MoonSet
56,12-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Dwadashi,Uttarabhadra,Vishkambha,Kaulava,,,,8:30 PM,11:25 AM,10:27 AM,8:31 AM,Shanivara,,Raama-Trivikrama,,,6:13,,,
57,13-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Trayodashi,Revati,Priti,Gara,,,,8:02 PM,11:50 AM,9:14 AM,8:18 AM,Ravivara,,Raama-Trivikrama,,,6:12,,,
58,14-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Chaturdashi,Ashwini,Ayushman,Bhadra,,,,7:08 PM,11:48 AM,7:38 AM,7:38 AM,Somavara,,Raama-Trivikrama,,,6:12,,,
59,15-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Amavasya,Bharani,Shobhana,Chatuspat,,,,5:47 PM,11:19 AM,3:24 AM,6:30 AM,Mangalavara,,Raama-Trivikrama,,,6:11,,,
60,16-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Pratipad,Krittika,Atiganda,Bhava,,,,4:04 PM,10:28 AM,12:51 AM,4:04 PM,Budhavara,,Aananda-Purushothama,,,6:11,,,
61,17-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Dvitya,Rohini,Sukarma,Kaulava,,,,2:05 PM,9:18 AM,10:06 PM,2:05 PM,Guruvara,,Aananda-Purushothama,,,6:11,,,
62,18-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Tritiya,Mrigashira,Dhriti,Gara,,,,11:50 AM,7:52 AM,7:09 PM,11:50 AM,Shukravara,,Aananda-Purushothama,,,6:10,,,
63,19-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Chaturthi,Ardra,Sula,Bhadra,,,,9:28 AM,6:18 AM,4:08 PM,9:28 AM,Shanivara,,Aananda-Purushothama,,,6:10,,,
64,20-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Panchami,Pushya,Ganda,Balava,,,,7:00 AM,3:00 AM,1:03 PM,7:00 AM,Ravivara,,Aananda-Purushothama,,,6:10,,,
65,21-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Saptami,Ashlesha,Vriddha,Gara,,,,2:11 AM,1:25 AM,10:00 AM,3:22 PM,Somavara,,Aananda-Purushothama,,,6:09,,,
66,22-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Ashtami,Makha,Dhruva,Bhadra,,,,12:00 AM,12:00 AM,7:03 AM,1:06 PM,Mangalavara,,Aananda-Purushothama,,,6:09,,,
67,23-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Navami,Purvaphalguni,Harshana,Balava,,,,10:04 PM,#VALUE!,1:41 AM,11:02 AM,Budhavara,,Aananda-Purushothama,,,6:09,,,
68,24-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Dasami,Uttaraphalguni,Vajra,Taitila,,,,8:26 PM,10:00 PM,11:22 PM,9:14 AM,Guruvara,,Aananda-Purushothama,,,6:09,,,
69,25-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Ekadashi,Hasta,Siddhi,Vanija,,,,7:10 PM,9:31 PM,9:20 PM,7:46 AM,Shukravara,,Aananda-Purushothama,,,6:08,,,
70,26-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Dwadashi,Chitta,Vyatipata,Bhava,,,,6:21 PM,9:29 PM,7:42 PM,6:42 AM,Shanivara,,Aananda-Purushothama,,,6:08,,,
71,27-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Trayodashi,Swati,Variyan,Kaulava,,,,6:01 PM,9:56 PM,6:26 PM,6:08 AM,Ravivara,,Aananda-Purushothama,,,6:08,,,
72,28-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Chaturdashi,Vishakha,Parigha,Vanija,,,,6:10 PM,10:52 PM,5:33 PM,6:10 PM,Somavara,,Aananda-Purushothama,,,6:07,,,
73,29-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Poornima,Anuradha,Shiva,Bhadra,,,,6:51 PM,12:19 AM,5:06 PM,6:27 AM,Mangalavara,,Aananda-Purushothama,,,6:07,,,
74,30-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Pratipad,Jyeshta,Siddha,Balava,,,,8:00 PM,2:12 AM,5:01 PM,7:23 AM,Budhavara,,Aananda-Purushothama,,,6:07,,,
75,31-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Dvitya,Moola,Sadhya,Taitila,,,,9:32 PM,4:27 AM,5:15 PM,8:44 AM,Guruvara,,Aananda-Purushothama,,,6:06,,,
76,01-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Tritiya,Purvashadha,Shubha,Vanija,,,,11:23 PM,6:06 AM,5:44 PM,10:27 AM,Shukravara,,Aananda-Purushothama,,,6:06,,,
